src,dst,weights
nm0504226,nm0721615,3.0
nm0504226,nm0000453,2.0
nm0504226,nm0026428,1.0
nm0504226,nm0000489,2.0
nm0504226,nm0397102,2.0
nm0504226,nm0032370,2.0
nm0721615,nm0000453,2.0
nm0721615,nm0026428,1.0
nm0721615,nm0000489,2.0
nm0721615,nm0397102,2.0
nm0721615,nm0032370,2.0
nm0721615,nm0413087,1.0
nm0000453,nm0026428,1.0
nm0000453,nm0000489,1.0
nm0000453,nm0397102,2.0
nm0000453,nm0032370,2.0
nm0652906,nm0508742,1.0
nm0652906,nm0798685,1.0
nm0652906,nm0926235,1.0
nm0652906,nm0450287,1.0
nm0652906,nm0712341,1.0
nm0001190,nm0026428,2.0
nm0001190,nm0562679,2.0
nm0001190,nm0866766,1.0
nm0001190,nm0000402,3.0
nm0001190,nm0692446,1.0
nm0001190,nm0120116,2.0
nm0001190,nm0701023,2.0
nm0001190,nm0224701,2.0
nm0001190,nm0393853,1.0
nm0001190,nm0832104,1.0
nm0001190,nm0048652,1.0
nm0001190,nm0922187,1.0
nm0508742,nm0109785,1.0
nm0508742,nm0798685,1.0
nm0508742,nm0003817,1.0
nm0508742,nm0926235,1.0
nm0508742,nm0450287,1.0
nm0508742,nm0532954,1.0
nm0026428,nm0562679,1.0
nm0026428,nm0866766,1.0
nm0026428,nm0000402,2.0
nm0026428,nm0000489,1.0
nm0026428,nm0397102,1.0
nm0026428,nm0032370,1.0
nm0026428,nm0120116,2.0
nm0026428,nm0701023,1.0
nm0026428,nm0224701,1.0
nm0026428,nm0048652,1.0
nm0026428,nm0922187,1.0
nm0562679,nm0866766,1.0
nm0562679,nm0000402,2.0
nm0562679,nm0692446,1.0
nm0562679,nm0120116,2.0
nm0562679,nm0701023,2.0
nm0562679,nm0224701,2.0
nm0562679,nm0393853,1.0
nm0562679,nm0413087,1.0
nm0562679,nm0048652,2.0
nm0866766,nm0000402,1.0
nm0866766,nm0834475,1.0
nm0866766,nm0120116,1.0
nm0866766,nm0094416,1.0
nm0866766,nm0390227,1.0
nm0866766,nm0701023,1.0
nm0866766,nm0224701,1.0
nm0866766,nm0048652,1.0
nm0000402,nm0692446,1.0
nm0000402,nm0120116,2.0
nm0000402,nm0701023,2.0
nm0000402,nm0224701,2.0
nm0000402,nm0393853,1.0
nm0000402,nm0048652,1.0
nm0000402,nm0922187,1.0
nm0154459,nm0000592,1.0
nm0154459,nm0681191,1.0
nm0154459,nm1634811,1.0
nm0154459,nm0188321,1.0
nm0154459,nm0526964,1.0
nm0154459,nm0131565,1.0
nm0834475,nm0706551,1.0
nm0834475,nm0858504,1.0
nm0834475,nm0830361,1.0
nm0834475,nm0571609,1.0
nm0834475,nm0050246,1.0
nm0834475,nm0730570,1.0
nm0834475,nm0780409,1.0
nm0834475,nm1131568,1.0
nm0834475,nm0732209,1.0
nm0834475,nm0195180,1.0
nm0834475,nm0607186,1.0
nm0834475,nm1035270,1.0
nm0834475,nm0003738,1.0
nm0834475,nm0001924,1.0
nm0834475,nm0681920,1.0
nm0834475,nm0437939,1.0
nm0000489,nm0397102,1.0
nm0000489,nm0032370,1.0
nm0000592,nm0681191,1.0
nm0000592,nm0526964,1.0
nm0000592,nm0131565,1.0
nm0105010,nm0692446,1.0
nm0105010,nm0001030,2.0
nm0105010,nm0001820,2.0
