nconst,primaryName,knownForTitles
nm0000045,Bruce Lee,"tt0068767,tt0067824,tt0068935,tt0070034"
nm0000046,Vivien Leigh,"tt0034272,tt0044081,tt0033238,tt0031381"
nm0000047,Sophia Loren,"tt0054749,tt0076085,tt0060121,tt0058335"
nm0000048,Peter Lorre,"tt0022100,tt0036613,tt0034583,tt0033870"
nm0000049,Henry Mancini,"tt0085101,tt0383216,tt0054698,tt0057413"
nm0000050,Groucho Marx,"tt0023027,tt0023969,tt0026778,tt0019777"
nm0000051,James Mason,"tt0084855,tt0047522,tt0056193,tt0053125"
nm0000052,Marcello Mastroianni,"tt0091113,tt0056801,tt0053779,tt0076085"
nm0000053,Robert Mitchum,"tt0055824,tt0048424,tt0039689,tt0056197"
nm0000054,Marilyn Monroe,"tt0048605,tt0050861,tt0053291,tt0045810"
nm0000055,Alfred Newman,"tt0042192,tt0434409,tt0049408,tt0065377"
nm0000056,Paul Newman,"tt0054997,tt0257044,tt0084855,tt0061512"
nm0000057,David Niven,"tt0074937,tt0052182,tt0057413,tt0048960"
nm0000058,Maureen O'Hara,"tt0041149,tt0045061,tt0055277,tt0039628"
nm0000059,Laurence Olivier,"tt0069281,tt0032976,tt0074860,tt0077269"
nm0000060,Gregory Peck,"tt0038109,tt0046250,tt0056592,tt0077269"
nm0000061,Tyrone Power,"tt0034405,tt0043959,tt0042256,tt0051201"
nm0000062,Elvis Presley,"tt0056023,tt0056585,tt0054692,tt0053848"
nm0000063,Anthony Quinn,"tt0056172,tt0057831,tt0064952,tt0049456"
nm0000064,Edward G. Robinson,"tt0038991,tt0021079,tt0036775,tt0040506"
nm0000065,Nino Rota,"tt0063518,tt0056801,tt0068646,tt0071562"
nm0000066,Jane Russell,"tt0043476,tt0045810,tt0043643,tt0044863"
nm0000067,Miklós Rózsa,"tt0052618,tt0037884,tt0036775,tt0038109"
nm0000068,Randolph Scott,"tt0056412,tt0026942,tt0029284,tt0051047"
nm0000069,Frank Sinatra,"tt0045793,tt0052218,tt0056218,tt0048347"
nm0000070,Max Steiner,"tt0040897,tt0034583,tt0036613,tt0031381"
nm0000071,James Stewart,"tt0052561,tt0052357,tt0032904,tt0031679"
nm0000072,Elizabeth Taylor,"tt0061184,tt0051459,tt0056937,tt0053318"
nm0000073,Shirley Temple,"tt0016029,tt0030657,tt0031580,tt0028118"
nm0000074,Gene Tierney,"tt0035979,tt0037008,tt0039420,tt0037865"
nm0000075,Spencer Tracy,"tt0047849,tt0053946,tt0061735,tt0055031"
nm0000076,François Truffaut,"tt0053198,tt0055032,tt0075860,tt0070460"
nm0000077,Franz Waxman,"tt0032976,tt0026138,tt0043014,tt0034248"
nm0000078,John Wayne,"tt0056217,tt0065126,tt0053580,tt0031971"
nm0000079,Raquel Welch,"tt0070291,tt0061653,tt0072281,tt0066115"
nm0000080,Orson Welles,"tt0038991,tt0033467,tt0052311,tt0040525"
nm0000081,Natalie Wood,"tt0057263,tt0055471,tt0048545,tt0055614"
nm0000082,Victor Young,"tt3315342,tt0045061,tt0119094,tt0048960"
nm0000083,Alan Miller,"tt19064180,tt0320978,tt0424773,tt0969216"
nm0000084,Gong Li,"tt0101640,tt0397535,tt0473444,tt0430357"
nm0000085,Henner Hofmann,"tt0113482,tt0097738,tt0097523,tt1825758"
nm0000086,Louis de Funès,"tt0069747,tt0064425,tt0074103,tt0079200"
nm0000087,Elena Koreneva,"tt7529350,tt5847740,tt0122969,tt0123138"
nm0000088,Aleksey Korenev,"tt0100069,tt0191104,tt0068304,tt0149586"
nm0000089,Richard Paul,"tt0117318,tt0075489,tt0088529,tt0086765"
nm0000090,Armin Mueller-Stahl,"tt0765443,tt0117631,tt0963178,tt0139809"
nm0000091,Gérard Pirès,"tt0064297,tt0282552,tt0421974,tt0152930"
nm0000092,John Cleese,"tt0071853,tt0063929,tt0095159,tt0085959"
nm0000093,Brad Pitt,"tt0114746,tt2935510,tt1210166,tt0356910"
nm0000094,J. Reifel,"tt0118631,tt0116030,tt0118886,tt0117915"
nm0000095,Woody Allen,"tt0091167,tt0075686,tt0118954,tt0079522"
nm0000096,Gillian Anderson,"tt0442632,tt0106179,tt2294189,tt0455590"
nm0000097,Pamela Anderson,"tt0115624,tt0306047,tt0426592,tt0267913"
nm0000098,Jennifer Aniston,"tt3442006,tt0108778,tt0279113,tt1723121"
nm0000099,Patricia Arquette,"tt0145531,tt0412175,tt0108399,tt1065073"
nm0000100,Rowan Atkinson,"tt0118689,tt1634122,tt0274166,tt0110357"
nm0000101,Dan Aykroyd,"tt0080455,tt0118747,tt0087332,tt0097428"
nm0000102,Kevin Bacon,"tt0087277,tt0164052,tt0327056,tt0361127"
nm0000103,Fairuza Balk,"tt0115963,tt0120586,tt0089908,tt0181875"
nm0000104,Antonio Banderas,"tt0120657,tt0285823,tt1189073,tt0120746"
nm0000105,Adrienne Barbeau,"tt0082340,tt0080749,tt1024648,tt0083767"
nm0000106,Drew Barrymore,"tt0160127,tt0120631,tt0151738,tt0343660"
nm0000107,Kim Basinger,"tt0096895,tt0119488,tt0108525,tt0337921"
nm0000108,Luc Besson,"tt2872732,tt0100263,tt0110413,tt0119116"
nm0000109,Yasmine Bleeth,"tt0111892,tt0115285,tt0131857,tt0337851"
nm0000110,Kenneth Branagh,"tt3402236,tt0097499,tt0107616,tt0116477"
nm0000111,Matthew Broderick,"tt0126886,tt0086567,tt0395251,tt0091042"
nm0000112,Pierce Brosnan,"tt0795421,tt0155267,tt0143145,tt0120347"
nm0000113,Sandra Bullock,"tt1454468,tt0111257,tt1041829,tt0212346"
nm0000114,Steve Buscemi,"tt4686844,tt0105236,tt0116282,tt0162346"
nm0000115,Nicolas Cage,"tt0435705,tt0113627,tt0117500,tt0119094"
nm0000116,James Cameron,"tt0090605,tt0499549,tt0120338,tt0103064"
nm0000117,Neve Campbell,"tt0120890,tt0134084,tt0120082,tt0117571"
nm0000118,John Carpenter,"tt0082340,tt0096256,tt0077651,tt0080749"
nm0000119,Tia Carrere,"tt0105793,tt0275847,tt0207919,tt0111503"
nm0000120,Jim Carrey,"tt0109040,tt0315327,tt0110475,tt0338013"
nm0000121,Phoebe Cates,"tt0087363,tt0083929,tt0086143,tt0101775"
nm0000122,Charles Chaplin,"tt0032553,tt0044837,tt0027977,tt0018773"
nm0000123,George Clooney,"tt1124035,tt1193138,tt0433383,tt0465538"
nm0000124,Jennifer Connelly,"tt0315983,tt0102803,tt0180093,tt0268978"
nm0000125,Sean Connery,"tt0117500,tt0055928,tt0094226,tt0059800"
nm0000126,Kevin Costner,"tt0103855,tt0102798,tt0119925,tt0099348"
nm0000127,Wes Craven,"tt0105121,tt0087800,tt0111686,tt0117571"
nm0000128,Russell Crowe,"tt1707386,tt0119488,tt0172495,tt0268978"
nm0000129,Tom Cruise,"tt0117060,tt0116695,tt0325710,tt0092099"
nm0000130,Jamie Lee Curtis,"tt0111503,tt1502407,tt0086465,tt0120694"
nm0000131,John Cusack,"tt0098258,tt0146882,tt0119229,tt0450385"
nm0000132,Claire Danes,"tt0117509,tt1796960,tt0274558,tt0108872"
nm0000133,Geena Davis,"tt0091064,tt0103074,tt0116908,tt0104694"
nm0000134,Robert De Niro,"tt0077416,tt0081398,tt0101540,tt0075314"
nm0000135,John Denver,"tt0076489,tt0120591,tt0299328,tt4649466"
nm0000136,Johnny Depp,"tt0408236,tt0449088,tt0325980,tt0383574"
nm0000137,Bo Derek,"tt0086987,tt0099656,tt0083170,tt0114694"
nm0000138,Leonardo DiCaprio,"tt1375666,tt0120338,tt0407887,tt0993846"
nm0000139,Cameron Diaz,"tt1284575,tt0259711,tt0129387,tt0160127"
nm0000140,Michael Douglas,"tt0094291,tt0103772,tt0093010,tt1291580"
nm0000141,David Duchovny,"tt0443701,tt0120902,tt0904208,tt0106179"
nm0000142,Clint Eastwood,"tt0105695,tt1205489,tt0405159,tt0112579"
nm0000143,Erika Eleniak,"tt0094761,tt0106400,tt0105690,tt0083866"
nm0000144,Cary Elwes,"tt0387564,tt0119468,tt0107977,tt0093779"
nm0000145,Sherilyn Fenn,"tt0092240,tt0105046,tt0098936,tt0100935"
nm0000146,Ralph Fiennes,"tt0108052,tt2278388,tt1201607,tt0387131"
nm0000147,Colin Firth,"tt1504320,tt2802144,tt1315981,tt0243155"
nm0000148,Harrison Ford,"tt0076759,tt0090329,tt0082971,tt0106977"
nm0000149,Jodie Foster,"tt0102926,tt0476964,tt0118884,tt0075314"
nm0000150,Michael J. Fox,"tt0116365,tt0088763,tt0115369,tt0096874"
nm0000151,Morgan Freeman,"tt0097239,tt1057500,tt0114369,tt0468569"
nm0000152,Richard Gere,"tt0119395,tt0163187,tt0100405,tt0299658"
nm0000153,Gina Gershon,"tt0119094,tt0114436,tt0115736,tt1726669"
nm0000154,Mel Gibson,"tt0118883,tt0104714,tt0112573,tt0117438"
nm0000155,Whoopi Goldberg,"tt0105417,tt0099653,tt0108147,tt0088939"
nm0000156,Jeff Goldblum,"tt2278388,tt0116629,tt0091064,tt0107290"
nm0000157,Linda Hamilton,"tt6450804,tt0088247,tt0103064,tt0118928"
nm0000158,Tom Hanks,"tt0112384,tt0109830,tt0094737,tt0162222"
nm0000159,Teri Hatcher,"tt0120347,tt0106057,tt0410975,tt0227538"
nm0000160,Ethan Hawke,"tt0112471,tt0139654,tt1065073,tt2209418"
nm0000161,Salma Hayek,"tt0112851,tt1615065,tt0120679,tt0120655"
nm0000162,Anne Heche,"tt0120885,tt0120828,tt0119008,tt0251160"
nm0000163,Dustin Hoffman,"tt0061722,tt0095953,tt0084805,tt0064665"
nm0000164,Anthony Hopkins,"tt0975645,tt0212985,tt0412080,tt0102926"
nm0000165,Ron Howard,"tt0088933,tt0268978,tt0112384,tt0367279"
nm0000166,Helen Hunt,"tt0162222,tt0103484,tt0119822,tt0117998"
nm0000167,Elizabeth Hurley,"tt0118655,tt0230030,tt0145660,tt0105104"
nm0000168,Samuel L. Jackson,"tt3460252,tt0417148,tt0110912,tt4154664"
nm0000169,Tommy Lee Jones,"tt0106977,tt2398231,tt0443272,tt0477348"
nm0000170,Milla Jovovich,"tt0120804,tt1220198,tt1220634,tt0119116"
nm0000171,Ashley Judd,"tt0352277,tt0150377,tt0470705,tt0113277"
nm0000172,Harvey Keitel,"tt0103759,tt0105236,tt2278388,tt0110912"
nm0000173,Nicole Kidman,"tt0935075,tt0159365,tt0203009,tt0274558"
nm0000174,Val Kilmer,"tt0120053,tt0113277,tt0373469,tt0101761"
nm0000175,Stephen King,"tt0083767,tt0111161,tt0091499,tt0324864"
nm0000176,Nastassja Kinski,"tt0111400,tt0080009,tt0083722,tt0087884"
nm0000177,Kevin Kline,"tt0120891,tt0095159,tt0113117,tt0106673"
nm0000178,Diane Lane,"tt0250797,tt0086066,tt2096673,tt0328589"
nm0000179,Jude Law,"tt0134119,tt0346156,tt2278388,tt0376541"
nm0000180,David Lean,"tt0059113,tt0087892,tt0056172,tt0050212"
nm0000181,Heather Locklear,"tt0098193,tt0103491,tt0119695,tt0380623"
nm0000182,Jennifer Lopez,"tt5503686,tt2126357,tt0252076,tt0120780"
nm0000183,Traci Lords,"tt1984153,tt1007028,tt0099329,tt0120611"
nm0000184,George Lucas,"tt0069704,tt0066434,tt0082971,tt0076759"
nm0000185,Dolph Lundgren,"tt0093507,tt0089927,tt0105698,tt0113481"
nm0000186,David Lynch,"tt0105665,tt0460829,tt0098936,tt0166924"
nm0000187,Madonna,"tt0116250,tt0246460,tt0104694,tt0156841"
nm0000188,Steve Martin,"tt0102250,tt0093886,tt0383216,tt0079367"
nm0000189,Jenny McCarthy Wahlberg,"tt0455967,tt0134084,tt0131857,tt0327643"
nm0000190,Matthew McConaughey,"tt1726669,tt1915581,tt0790636,tt1935179"
nm0000191,Ewan McGregor,"tt2763304,tt0117951,tt0203009,tt1322269"
nm0000192,Alyssa Milano,"tt0088944,tt0158552,tt0086827,tt0116287"
nm0000193,Demi Moore,"tt0099653,tt0305357,tt0107211,tt0119173"
nm0000194,Julianne Moore,"tt0842926,tt0175880,tt0118749,tt0297884"
nm0000195,Bill Murray,"tt0335266,tt0362270,tt0128445,tt1748122"
nm0000196,Mike Myers,"tt0295178,tt0118655,tt0811138,tt0145660"
nm0000197,Jack Nicholson,"tt0407887,tt0073486,tt0071315,tt0119822"
nm0000198,Gary Oldman,"tt0103874,tt1340800,tt0468569,tt4555426"
nm0000199,Al Pacino,"tt0099422,tt0068646,tt0070666,tt0072890"
nm0000200,Bill Paxton,"tt0117998,tt0264616,tt0112384,tt0090605"
nm0000201,Michelle Pfeiffer,"tt0117247,tt0427327,tt0097322,tt0161081"
nm0000202,Ryan Phillippe,"tt0280707,tt0120577,tt0375679,tt0139134"
nm0000203,River Phoenix,"tt0096018,tt0091557,tt0092005,tt0102494"
nm0000204,Natalie Portman,"tt0947798,tt0376541,tt0434409,tt0110413"
nm0000205,Parker Posey,"tt0134084,tt0359013,tt0348150,tt0106677"
nm0000206,Keanu Reeves,"tt0234215,tt0133093,tt0111257,tt0102685"
nm0000207,Christina Ricci,"tt0112642,tt0118789,tt0811080,tt0462200"
nm0000208,Molly Ringwald,"tt0088128,tt0091790,tt0088847,tt0095169"
nm0000209,Tim Robbins,"tt0091225,tt0112818,tt0105151,tt0327056"
nm0000210,Julia Roberts,"tt0100405,tt0195685,tt0119738,tt0376541"
nm0000211,Mimi Rogers,"tt0118655,tt0120738,tt0210070,tt0488085"
nm0000212,Meg Ryan,"tt0128853,tt0098635,tt0108160,tt0120632"
nm0000213,Winona Ryder,"tt0110367,tt0172493,tt0100140,tt0097493"
nm0000214,Mia Sara,"tt0312098,tt0091042,tt0089469,tt0111438"
nm0000215,Susan Sarandon,"tt0103074,tt0112818,tt0120686,tt0094812"
nm0000216,Arnold Schwarzenegger,"tt0107362,tt0216216,tt0088247,tt0103064"
nm0000217,Martin Scorsese,"tt0099685,tt0106226,tt0075314,tt0070379"
nm0000218,Kristin Scott Thomas,"tt0116209,tt1602613,tt0280707,tt0109831"
nm0000219,Steven Seagal,"tt0242445,tt0094602,tt0110725,tt0105690"
nm0000220,Joan Severance,"tt0115696,tt0099141,tt0112519,tt0098282"
nm0000221,Charlie Sheen,"tt0094291,tt0107144,tt0108333,tt0369179"
nm0000222,Brooke Shields,"tt0080453,tt0805570,tt0078111,tt0080116"
nm0000223,Elisabeth Shue,"tt0087538,tt0092513,tt0113627,tt0120053"
nm0000224,Alicia Silverstone,"tt0118688,tt0124298,tt0112697,tt0119086"
nm0000225,Christian Slater,"tt0102798,tt0124198,tt0115759,tt0108399"
nm0000226,Will Smith,"tt0480249,tt0119654,tt0098800,tt0116629"
nm0000227,Mira Sorvino,"tt0113819,tt0364343,tt0120032,tt0120008"
nm0000228,Kevin Spacey,"tt0169547,tt0119488,tt0114814,tt0114369"
nm0000229,Steven Spielberg,"tt0083866,tt0120815,tt0082971,tt0108052"
nm0000230,Sylvester Stallone,"tt3076658,tt0075148,tt0089927,tt0084602"
nm0000231,Oliver Stone,"tt0102138,tt0096969,tt0110632,tt0091763"
nm0000232,Sharon Stone,"tt0112641,tt0108162,tt0103772,tt0114214"
nm0000233,Quentin Tarantino,"tt0105236,tt0110912,tt7131622,tt3460252"
nm0000234,Charlize Theron,"tt5610554,tt1392190,tt1735898,tt0340855"
nm0000235,Uma Thurman,"tt0118688,tt0110912,tt0266697,tt0378194"
nm0000236,Jennifer Tilly,"tt0387575,tt0115736,tt0109348,tt0144120"
nm0000237,John Travolta,"tt0113161,tt0076666,tt0077631,tt0110912"
nm0000238,Shannon Tweed,"tt0094834,tt0110675,tt0112942,tt0165710"
nm0000239,Liv Tyler,"tt0120737,tt0120591,tt0167260,tt0482606"
nm0000240,Skeet Ulrich,"tt0117571,tt0115963,tt0409572,tt0913354"
nm0000241,Jean-Claude Van Damme,"tt0097659,tt1130988,tt0119013,tt0101764"
nm0000242,Mark Wahlberg,"tt0118749,tt0407887,tt0964517,tt1637725"
nm0000243,Denzel Washington,"tt0168786,tt0139654,tt1037705,tt2671706"
nm0000244,Sigourney Weaver,"tt0499549,tt0118583,tt0095243,tt0078748"
nm0000245,Robin Williams,"tt0119217,tt0107614,tt0093105,tt0265459"
nm0000246,Bruce Willis,"tt0088571,tt0167404,tt0110912,tt0095016"
nm0000247,John Woo,"tt0425637,tt0092263,tt0104684,tt0119094"
nm0000248,Edward D. Wood Jr.,"tt0067479,tt0047898,tt0045826,tt0052077"
nm0000249,James Woods,"tt0086541,tt0120877,tt0119282,tt0159097"
nm0000250,Renée Zellweger,"tt0299658,tt0116695,tt0159365,tt0243155"
nm0000251,Timothy Dowling,"tt0181852,tt2120120,tt0430922,tt1596350"
nm0000252,Robert Ellis,"tt0006213,tt0028651,tt0010781,tt0030778"
nm0000253,Robert Ellis,"tt0014515,tt0014083,tt0010965,tt0026454"
nm0000254,Isabelle Adjani,"tt0079641,tt0090095,tt0094828,tt0082933"
nm0000255,Ben Affleck,"tt0119217,tt0840361,tt1024648,tt2267998"
nm0000256,Jenny Agutter,"tt0082010,tt0848228,tt0099253,tt0074812"
nm0000257,Alan Alda,"tt0097123,tt0082405,tt0068098,tt7653254"
nm0000258,Stephanie Zimbalist,"tt0083470,tt2224219,tt0080402,tt0076993"
nm0000259,Ginger Lynn,"tt0134898,tt0210365,tt0395584,tt0087562"
nm0000260,Joan Allen,"tt3170832,tt0452608,tt0113987,tt0115988"
nm0000261,Karen Allen,"tt0077975,tt0082971,tt0367882,tt0088172"
nm0000262,Nancy Allen,"tt0100502,tt0080661,tt0107978,tt0093870"
nm0000263,Kirstie Alley,"tt0114852,tt0157503,tt0084726,tt0097778"
nm0000264,Pedro Almodóvar,"tt0095675,tt0101026,tt0287467,tt1189073"
nm0000265,Robert Altman,"tt0105151,tt0073440,tt0108122,tt0280707"
nm0000266,Ursula Andress,"tt0061452,tt0082186,tt0055928,tt0060177"
nm0000267,Julie Andrews,"tt0059742,tt0058331,tt0247638,tt0084865"
nm0000268,Ann-Margret,"tt0066892,tt0056891,tt0107050,tt0060646"
nm0000269,Jean-Jacques Annaud,"tt2909116,tt0215750,tt0120102,tt0091605"
nm0000270,Gabrielle Anwar,"tt0810788,tt0105323,tt0108333,tt0114660"
nm0000271,Anne Archer,"tt0108122,tt0160009,tt0093010,tt0105112"
nm0000272,Fanny Ardant,"tt0283832,tt0401711,tt0086551,tt0127536"
nm0000273,Alan Arkin,"tt0104348,tt1024648,tt0099487,tt0449059"
nm0000274,David Arquette,"tt0271367,tt0120082,tt0134084,tt0151738"
nm0000275,Rosanna Arquette,"tt0089017,tt0190138,tt0110912,tt0088680"
nm0000276,Sean Astin,"tt0089218,tt0167261,tt0167260,tt0120737"
nm0000277,Richard Attenborough,"tt0057115,tt0107290,tt0060934,tt0083987"
nm0000278,Pernilla August,"tt0104350,tt1437366,tt0121765,tt0120915"
nm0000279,Hank Azaria,"tt0096697,tt1839481,tt0132347,tt0115685"
nm0000280,Catherine Bach,"tt0072288,tt1414382,tt0078607,tt0119025"
nm0000281,Scott Baio,"tt0281680,tt0270846,tt0070992,tt0367279"
nm0000282,Scott Bairstow,"tt0182587,tt0120512,tt0283084,tt0119925"
nm0000283,Brenda Bakke,"tt0119488,tt0114781,tt0107144,tt0114608"
nm0000284,Adam Baldwin,"tt0379786,tt0116629,tt0093058,tt0187393"
nm0000285,Alec Baldwin,"tt0104348,tt0318374,tt0407887,tt1230414"
nm0000286,Stephen Baldwin,"tt0158622,tt0115683,tt0486583,tt0114814"
nm0000287,William Baldwin,"tt0113010,tt0367089,tt0101393,tt0108162"
nm0000288,Christian Bale,"tt0468569,tt0372784,tt0144084,tt0964517"
nm0000289,Ellen Barkin,"tt0086856,tt0116277,tt0157503,tt0108330"
nm0000290,John Barry,"tt0099348,tt0093428,tt0089755,tt0081534"
nm0000291,Angela Bassett,"tt0114558,tt0118884,tt2302755,tt1825683"
nm0000292,Michelle Bauer,"tt0094734,tt0181017,tt0094998,tt0103213"
nm0000293,Sean Bean,"tt0944947,tt0167261,tt0120737,tt1181791"
nm0000294,Amanda Bearse,"tt0089175,tt0247121,tt0092400,tt0255132"
nm0000295,Kate Beckinsale,"tt0401855,tt0452702,tt0338526,tt0320691"
nm0000296,Robert Beltran,"tt0113987,tt0087799,tt0112178,tt0101516"
nm0000297,Tom Berenger,"tt0097815,tt0091763,tt1375666,tt0085244"
nm0000298,Candice Bergen,"tt0212346,tt0094514,tt0901476,tt0083987"
nm0000299,Michael Biehn,"tt0096754,tt1077258,tt0088247,tt0090605"
nm0000300,Juliette Binoche,"tt0241303,tt2452254,tt0116209,tt1219827"
nm0000301,Thora Birch,"tt0162346,tt0169547,tt0105112,tt0107120"
nm0000302,Jacqueline Bisset,"tt0071877,tt0061452,tt0088322,tt0062765"
nm0000303,Honor Blackman,"tt0057197,tt0243155,tt0058150,tt0054518"
nm0000304,Linda Blair,"tt0082511,tt0076009,tt0088044,tt0070047"
nm0000305,Mel Blanc,"tt0045708,tt0077278,tt0094939,tt0096438"
nm0000306,Brian Blessed,"tt0107616,tt0120915,tt0080745,tt0120855"
nm0000307,Helena Bonham Carter,"tt1504320,tt1707386,tt0137523,tt0408236"
nm0000308,Ernest Borgnine,"tt0048356,tt0086662,tt0082340,tt0069113"
nm0000309,David Bowie,"tt0196229,tt0074851,tt0482571,tt0091369"
nm0000310,Bruce Boxleitner,"tt0871427,tt0105946,tt1104001,tt0084827"
nm0000311,Annie Rosar,"tt0140410,tt0034800,tt0041552,tt0052996"
nm0000312,Amy Brenneman,"tt0209069,tt0113277,tt0866437,tt0116287"
nm0000313,Jeff Bridges,"tt0118715,tt2582782,tt1403865,tt1263670"
nm0000314,Charles Bronson,"tt0057115,tt0054047,tt0064116,tt0071402"
nm0000315,Louise Brooks,"tt0021917,tt0017382,tt0020475,tt0018737"
nm0000316,Mel Brooks,"tt0082517,tt0071230,tt0094012,tt0395251"
nm0000317,Clancy Brown,"tt1179056,tt0120201,tt2279373,tt0111161"
nm0000318,Tim Burton,"tt0408236,tt0099487,tt0121164,tt1142977"
nm0000319,Yancy Butler,"tt1650554,tt1250777,tt0274298,tt0107076"
nm0000320,Luis Buñuel,"tt0075824,tt0061395,tt0056732,tt0068361"
nm0000321,Gabriel Byrne,"tt7784604,tt0146675,tt0100150,tt0114814"
nm0000322,Emmanuelle Béart,"tt0091480,tt0283832,tt0117060,tt0113947"
nm0000323,Michael Caine,"tt3312830,tt0468569,tt0258068,tt0124315"
nm0000324,Barbara Carrera,"tt0076210,tt0086006,tt0084112,tt0085862"
nm0000325,David Caruso,"tt0261983,tt0113451,tt0228750,tt0083944"
nm0000326,Kim Cattrall,"tt1261945,tt0159206,tt1000774,tt0102975"
nm0000327,Lacey Chabert,"tt0377092,tt0120738,tt0454082,tt0277371"
nm0000328,Richard Chamberlain,"tt0072308,tt0085101,tt0076299,tt0072824"
nm0000329,Jackie Chan,"tt0089374,tt0266915,tt0120812,tt0127357"
nm0000330,Stockard Channing,"tt0120791,tt0198021,tt0108149,tt0077631"
nm0000331,Chevy Chase,"tt0092086,tt0085995,tt0090056,tt0080487"
nm0000332,Don Cheadle,"tt1540133,tt0395169,tt0375679,tt0988047"
nm0000333,Cher,"tt0089560,tt0093565,tt0100140,tt1126591"
nm0000334,Chow Yun-Fat,"tt0473444,tt0120008,tt1098327,tt0190332"
nm0000335,Glenn Close,"tt0093010,tt3750872,tt2015381,tt0094947"
nm0000336,James Coburn,"tt0074695,tt0056923,tt0057115,tt0054047"
nm0000337,Rachael Leigh Cook,"tt11100856,tt0160862,tt5659816,tt0331811"
nm0000338,Francis Ford Coppola,"tt0068646,tt0071360,tt0071562,tt0078788"
nm0000339,Roger Corman,"tt0102926,tt0091419,tt0061189,tt0099612"
nm0000340,Cindy Crawford,"tt0113010,tt1441109,tt0120577,tt0115082"
nm0000341,Michael Crichton,"tt0107290,tt0108757,tt0117998,tt0070909"
nm0000342,James Cromwell,"tt0119488,tt0117731,tt0144214,tt0120689"
nm0000343,David Cronenberg,"tt0120907,tt0094964,tt0091064,tt0115964"
nm0000344,Denise Crosby,"tt0097889,tt0098084,tt0104119,tt0120647"
nm0000345,Billy Crystal,"tt0113097,tt0122933,tt0101587,tt0098635"
