nconst,primaryName,knownForTitles
nm0000001,Fred Astaire,"tt0031983,tt0050419,tt0053137,tt0072308"
nm0000002,Lauren Bacall,"tt0038355,tt0037382,tt0117057,tt0071877"
nm0000003,Brigitte Bardot,"tt0049189,tt0056404,tt0054452,tt0057345"
nm0000004,John Belushi,"tt0078723,tt0072562,tt0080455,tt0077975"
nm0000005,Ingmar Bergman,"tt0060827,tt0050986,tt0083922,tt0069467"
nm0000006,Ingrid Bergman,"tt0036855,tt0077711,tt0034583,tt0038109"
nm0000007,Humphrey Bogart,"tt0043265,tt0042593,tt0037382,tt0034583"
nm0000008,Marlon Brando,"tt0070849,tt0078788,tt0068646,tt0047296"
nm0000009,Richard Burton,"tt0057877,tt0059749,tt0061184,tt0087803"
nm0000010,James Cagney,"tt0031867,tt0042041,tt0029870,tt0035575"
nm0000011,Gary Cooper,"tt0035896,tt0027996,tt0044706,tt0034167"
nm0000012,Bette Davis,"tt0056687,tt0042192,tt0035140,tt0031210"
nm0000013,Doris Day,"tt0045591,tt0048317,tt0053172,tt0049470"
nm0000014,Olivia de Havilland,"tt0040806,tt0031381,tt0041452,tt0029843"
nm0000015,James Dean,"tt0049261,tt0039123,tt0048028,tt0048545"
nm0000016,Georges Delerue,"tt0096320,tt0091763,tt8847712,tt0069946"
nm0000017,Marlene Dietrich,"tt0051201,tt0052311,tt0021156,tt0055031"
nm0000018,Kirk Douglas,"tt0049456,tt0054331,tt0043338,tt0080736"
nm0000019,Federico Fellini,"tt0053779,tt0056801,tt0050783,tt0071129"
nm0000020,Henry Fonda,"tt0032551,tt0051207,tt0082846,tt0050083"
nm0000021,Joan Fontaine,"tt0040536,tt0034248,tt0032976,tt0035751"
nm0000022,Clark Gable,"tt0026752,tt0023382,tt0031381,tt0025316"
nm0000023,Judy Garland,"tt0055031,tt0032138,tt0037059,tt0047522"
nm0000024,John Gielgud,"tt0117631,tt0045943,tt0071877,tt0082031"
nm0000025,Jerry Goldsmith,"tt0119488,tt0112715,tt0077269,tt0117731"
nm0000026,Cary Grant,"tt0048728,tt0056923,tt0034248,tt0053125"
nm0000027,Alec Guinness,"tt0050212,tt0041546,tt0051739,tt0076759"
nm0000028,Rita Hayworth,"tt0040525,tt0038559,tt0046076,tt0036723"
nm0000029,Margaux Hemingway,"tt0074802,tt0110138,tt0102122,tt0077800"
nm0000030,Audrey Hepburn,"tt0056923,tt0058385,tt0046250,tt0054698"
nm0000031,Katharine Hepburn,"tt0032904,tt0043265,tt0082846,tt0063227"
nm0000032,Charlton Heston,"tt0070723,tt0063442,tt0052618,tt0049833"
nm0000033,Alfred Hitchcock,"tt0056869,tt0053125,tt0054215,tt0052357"
nm0000034,William Holden,"tt0046359,tt0047437,tt0043014,tt0074958"
nm0000035,James Horner,"tt0120338,tt0090633,tt0120746,tt0499549"
nm0000036,Buster Keaton,"tt0019421,tt0015324,tt0016332,tt0017925"
nm0000037,Gene Kelly,"tt0041716,tt0053946,tt0045152,tt0043278"
nm0000038,Grace Kelly,"tt0046912,tt0046874,tt0048728,tt0047396"
nm0000039,Deborah Kerr,"tt0049408,tt0045793,tt0039192,tt0050105"
nm0000040,Stanley Kubrick,"tt0062622,tt0066921,tt0072684,tt0093058"
nm0000041,Akira Kurosawa,"tt0047478,tt0051808,tt0089881,tt0080979"
nm0000042,Alan Ladd,"tt0046303,tt0039056,tt0038369,tt0035432"
nm0000043,Veronica Lake,"tt0038369,tt0034240,tt0034881,tt0035432"
nm0000044,Burt Lancaster,"tt0080388,tt0053793,tt0045793,tt0051036"
