startYear,Action,Animation,Comedy,Crime,Drama,Fantasy,Horror,Romance,Sci-Fi,Thriller
1961.0,5.0,2.5,15.0,2.5,45.0,0.0,7.5,17.5,2.5,2.5
1962.0,9.8,0.0,7.84,7.84,47.06,1.96,3.92,5.88,0.0,15.69
1963.0,9.3,2.33,18.6,4.65,32.56,4.65,9.3,11.63,2.33,4.65
1964.0,3.77,0.0,18.87,9.43,35.85,3.77,9.43,3.77,1.89,13.21
1965.0,9.76,0.0,17.07,4.88,36.59,2.44,4.88,7.32,4.88,12.2
1966.0,8.0,0.0,16.0,4.0,36.0,0.0,2.0,16.0,6.0,12.0
1967.0,7.84,3.92,25.49,9.8,31.37,0.0,3.92,7.84,1.96,7.84
1968.0,6.25,4.17,18.75,8.33,33.33,4.17,8.33,6.25,4.17,6.25
1969.0,10.81,0.0,21.62,13.51,37.84,2.7,0.0,5.41,0.0,8.11
1970.0,8.33,2.08,18.75,8.33,39.58,4.17,2.08,6.25,2.08,8.33
1971.0,12.5,1.25,10.0,12.5,31.25,1.25,3.75,3.75,6.25,17.5
1972.0,11.67,1.67,18.33,8.33,26.67,0.0,6.67,6.67,8.33,11.67
1973.0,10.75,3.23,15.05,13.98,30.11,2.15,6.45,3.23,7.53,7.53
1974.0,11.69,0.0,12.99,12.99,32.47,2.6,2.6,7.79,2.6,14.29
1975.0,9.09,1.52,19.7,12.12,30.3,3.03,7.58,1.52,7.58,7.58
1976.0,6.25,1.25,17.5,13.75,30.0,1.25,8.75,5.0,3.75,12.5
1977.0,9.52,4.76,21.43,3.57,25.0,4.76,10.71,7.14,2.38,10.71
1978.0,12.79,2.33,16.28,8.14,22.09,3.49,11.63,5.81,5.81,11.63
1979.0,9.21,1.32,17.11,7.89,30.26,0.0,10.53,6.58,11.84,5.26
1980.0,9.18,0.0,18.37,10.2,25.51,3.06,13.27,7.14,6.12,7.14
1981.0,13.0,2.0,11.0,10.0,23.0,4.0,16.0,6.0,4.0,11.0
1982.0,9.09,1.82,20.0,7.27,23.64,5.45,12.73,5.45,7.27,7.27
1983.0,9.4,0.85,17.09,10.26,27.35,3.42,9.4,6.84,5.98,9.4
1984.0,15.89,0.66,19.21,9.93,20.53,5.3,7.28,7.28,9.27,4.64
1985.0,13.66,1.09,23.5,7.1,21.31,6.01,7.1,8.2,6.01,6.01
1986.0,11.83,3.23,24.19,8.6,21.51,2.15,8.6,8.6,4.84,6.45
1987.0,9.22,0.49,23.79,10.19,20.39,6.31,8.74,9.22,3.88,7.77
1988.0,9.43,2.87,23.36,11.89,20.49,4.92,11.07,6.97,3.69,5.33
1989.0,12.32,1.48,24.63,12.81,20.2,5.42,6.9,5.42,2.96,7.88
1990.0,13.73,0.86,19.74,13.3,22.75,3.43,7.3,6.87,4.29,7.73
1991.0,13.0,1.5,23.0,11.5,25.5,5.5,2.0,9.0,3.0,6.0
1992.0,9.27,1.93,19.69,11.97,25.87,4.25,5.02,9.65,2.7,9.65
1993.0,10.39,1.79,19.0,11.11,30.11,5.73,2.87,9.68,1.79,7.53
1994.0,10.81,1.69,26.69,11.15,26.35,3.04,3.04,10.81,1.69,4.73
1995.0,11.66,2.45,17.48,12.27,27.61,3.99,3.07,9.2,4.29,7.98
1996.0,10.58,1.28,22.12,11.54,26.92,4.49,3.53,7.69,3.21,8.65
1997.0,14.11,1.8,17.72,12.91,27.33,2.1,4.5,6.61,4.5,8.41
1998.0,12.06,1.88,22.25,12.06,26.54,2.68,3.75,7.51,3.75,7.51
1999.0,8.58,2.14,22.52,8.58,26.27,4.29,4.56,12.06,4.29,6.7
2000.0,11.25,2.75,19.25,11.5,25.75,4.25,4.75,9.25,3.25,8.0
2001.0,12.47,2.95,19.27,11.34,25.85,4.54,2.95,11.11,2.95,6.58
2002.0,10.68,2.14,18.38,11.54,28.63,2.56,4.7,9.83,2.99,8.55
2003.0,13.86,1.59,21.36,12.5,25.45,2.95,4.32,9.09,2.5,6.36
2004.0,11.37,2.5,20.42,9.25,27.36,2.5,4.43,11.95,4.24,5.97
2005.0,10.59,1.67,19.7,11.9,28.44,3.53,6.69,8.74,2.04,6.69
2006.0,9.98,3.33,20.6,8.72,26.62,4.6,5.71,10.14,2.69,7.61
2007.0,10.77,2.46,16.77,12.0,26.62,4.62,6.62,9.23,1.54,9.38
2008.0,13.54,2.39,18.47,10.83,26.11,2.87,5.57,9.87,3.5,6.85
2009.0,12.56,2.76,18.07,9.34,24.5,4.44,6.43,8.58,3.83,9.49
2010.0,13.41,2.21,18.45,8.83,27.44,3.47,5.68,10.25,2.05,8.2
2011.0,13.57,2.95,17.7,6.78,27.14,3.83,5.46,9.59,4.13,8.85
2012.0,13.21,3.15,17.87,10.06,25.53,3.6,6.61,7.96,2.7,9.31
2013.0,12.9,2.66,16.41,9.68,27.63,2.66,5.33,7.43,4.77,10.52
2014.0,13.83,1.71,16.47,9.49,27.8,3.29,6.06,8.43,3.29,9.62
2015.0,13.05,2.55,17.02,7.94,29.93,3.4,5.67,7.38,4.54,8.51
2016.0,15.25,2.97,14.27,9.75,29.66,3.53,7.34,5.23,3.11,8.9
2017.0,14.1,2.16,14.1,10.07,29.5,4.46,7.48,5.9,2.59,9.64
2018.0,14.03,2.61,15.27,9.49,29.71,4.13,5.5,5.5,4.68,9.08
2019.0,14.05,2.54,15.99,10.16,28.7,3.44,7.47,5.68,3.89,8.07
2020.0,12.84,2.48,17.12,9.23,29.05,2.93,9.23,5.63,3.15,8.33
2021.0,17.73,3.39,12.35,11.55,27.09,2.99,6.37,5.18,3.98,9.36
2022.0,17.6,4.0,16.0,15.2,23.2,0.8,4.8,4.0,0.8,13.6
