startYear,genres,averageRating,numVotes,count
1915.0,Drama,6.2,24423.0,1
1915.0,History,6.2,24423.0,1
1915.0,War,6.2,24423.0,1
1916.0,Drama,7.7,15342.0,1
1916.0,History,7.7,15342.0,1
1919.0,Drama,7.3,10228.0,1
1919.0,Romance,7.3,10228.0,1
1920.0,Horror,8.0,62474.0,1
1920.0,Mystery,8.0,62474.0,1
1920.0,Thriller,8.0,62474.0,1
1921.0,Comedy,8.3,124318.0,1
1921.0,Drama,8.15,68284.5,2
1921.0,Family,8.3,124318.0,1
1921.0,Fantasy,8.0,12251.0,1
1921.0,Horror,8.0,12251.0,1
1922.0,Documentary,7.6,13054.0,2
1922.0,Fantasy,7.75,54662.5,2
1922.0,History,7.6,14103.0,1
1922.0,Horror,7.9,95222.0,1
1923.0,Action,8.1,20383.0,1
1923.0,Comedy,7.95,15765.0,2
1923.0,Romance,7.8,11147.0,1
1923.0,Thriller,7.95,15765.0,2
1924.0,Action,8.2,48397.0,1
1924.0,Comedy,8.2,48397.0,1
1924.0,Drama,8.0,13857.0,1
1924.0,Romance,8.2,48397.0,1
1925.0,Adventure,8.2,109588.0,1
1925.0,Comedy,8.0,59885.5,2
1925.0,Drama,8.1,83285.5,2
1925.0,History,8.0,56983.0,1
1925.0,Horror,7.5,18186.0,1
1925.0,Romance,7.8,10183.0,1
1925.0,Thriller,8.0,56983.0,1
1926.0,Action,8.2,89723.0,1
1926.0,Adventure,8.2,89723.0,1
1926.0,Comedy,8.2,89723.0,1
1926.0,Drama,8.1,15085.0,1
1926.0,Fantasy,8.1,15085.0,1
1926.0,Horror,8.1,15085.0,1
1927.0,Action,7.6,12771.0,1
1927.0,Crime,7.3,11721.0,1
1927.0,Drama,7.83,61595.5,4
1927.0,Mystery,7.3,11721.0,1
1927.0,Romance,7.85,31677.0,2
1927.0,Sci-Fi,8.3,171307.0,1
1928.0,Action,7.8,14495.0,1
1928.0,Biography,8.2,53437.0,1
1928.0,Comedy,7.97,19806.0,3
1928.0,Drama,8.0,26521.33,3
1928.0,Family,8.05,22461.5,2
1928.0,History,8.2,53437.0,1
1928.0,Romance,8.1,33291.0,1
1929.0,Crime,7.35,10635.5,2
1929.0,Documentary,8.4,24590.0,1
1929.0,Drama,7.8,10664.0,1
1929.0,Music,8.4,24590.0,1
1929.0,Romance,7.8,10664.0,1
1929.0,Thriller,6.9,10607.0,1
1930.0,Comedy,7.3,14098.0,2
1930.0,Drama,7.67,29828.33,3
1930.0,Family,7.4,14417.0,1
1930.0,Music,7.7,14933.0,1
1930.0,Musical,7.4,14417.0,1
1930.0,War,8.1,60773.0,1
1931.0,Action,7.2,13195.0,1
1931.0,Comedy,7.95,97404.5,2
1931.0,Crime,7.7,63022.33,3
1931.0,Drama,7.7,67528.6,5
1931.0,Family,7.4,13505.0,1
1931.0,Fantasy,7.4,51299.0,1
1931.0,Horror,7.6,45330.33,3
1931.0,Musical,7.4,13505.0,1
1931.0,Mystery,8.3,155025.0,1
1931.0,Romance,8.5,181304.0,1
1931.0,Sci-Fi,7.7,42346.0,2
